competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded,source_year,amount_missing,is_awarded_flag,amount_scope,group_award_flag,financial_kpi_eligible,awarded_amount_numeric,competition_type_standardized,vendor_name_clean
22-401,ITT,Construction of Glenbrook Combined Sewer Overflow (CSO) Gate Replacement Project,2023-09-11,"NorLand Limited, BEL Contracting, A Division of BelPacific Excavating & Shoring LP","$ 3,536,755.00",Yes,2023,False,True,vendor_specific,False,True,3536755.0,ITT,"NorLand Limited, BEL Contracting, A Division of BelPacific Excavating & Shoring LP"
22-401,ITT,Construction of Glenbrook Combined Sewer Overflow (CSO) Gate Replacement Project,2023-09-11,Clearway Construction Inc.,,No,2023,True,False,not_awarded,False,False,,ITT,Clearway Construction Inc.
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,EXP Services Inc.,"$ 176,200.00",Yes,2023,False,True,vendor_specific,False,True,176200.0,RFP,EXP Services Inc.
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,Morrison Hershfield,"$ 241,337.00",Yes,2023,False,True,vendor_specific,False,True,241337.0,RFP,Morrison Hershfield
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,Entuitive,,No,2023,True,False,not_awarded,False,False,,RFP,Entuitive
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,Williams Engineering Canada,,No,2023,True,False,not_awarded,False,False,,RFP,Williams Engineering Canada
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,Evoke Buildings Engineering Inc.,,No,2023,True,False,not_awarded,False,False,,RFP,Evoke Buildings Engineering Inc.
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,Read Jones Christoffersen Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,Read Jones Christoffersen Ltd.
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,LDR Engineering Group,,No,2023,True,False,not_awarded,False,False,,RFP,LDR Engineering Group
23-104,RFP,Le Chateau Place and Crown Manor – Primary Consulting Services for Deep Energy Retrofit,2023-09-13,IRC Building Sciences,,No,2023,True,False,not_awarded,False,False,,RFP,IRC Building Sciences
23-359,SS/NOIC,Emergency Repairs at the Ashcroft Ranch,2023-09-13,THE BLUE GOOSE CATTLE COMPANY,"$ 110,362.00",Yes,2023,False,True,vendor_specific,False,True,110362.0,SS/NOIC,THE BLUE GOOSE CATTLE COMPANY
23-203,RFP,Aerial Crossings Condition Assessment,2023-09-15,Acuren Group Inc.,"$ 134,700.00",Yes,2023,False,True,vendor_specific,False,True,134700.0,RFP,Acuren Group Inc.
23-203,RFP,Aerial Crossings Condition Assessment,2023-09-15,RAM Engineering Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,RAM Engineering Ltd.
23-203,RFP,Aerial Crossings Condition Assessment,2023-09-15,GHD Limited,,No,2023,True,False,not_awarded,False,False,,RFP,GHD Limited
23-363,RFP,"Kent Pump Station - Options Analysis, E-House Relocation, and Main Transformer and MCC Replacement",2023-09-18,Tetra Tech Canada Inc.,"$ 190,016.00",Yes,2023,False,True,vendor_specific,False,True,190016.0,RFP,Tetra Tech Canada Inc.
22-367,RFP,Supply and Delivery of Turf Equipment,2023-09-19,Avenue Machinery Corporation,"$ 1,319,000.00",Yes,2023,False,True,group_framework_anchor,True,True,1319000.0,RFP,Avenue Machinery Corporation
22-367,RFP,Supply and Delivery of Turf Equipment,2023-09-19,FRASER VALLEY EQUIPMENT LTD,,Yes,2023,True,True,group_framework_member,True,False,,RFP,FRASER VALLEY EQUIPMENT LTD
22-367,RFP,Supply and Delivery of Turf Equipment,2023-09-19,Prairie Coast Equipment Inc.,,Yes,2023,True,True,group_framework_member,True,False,,RFP,Prairie Coast Equipment Inc.
23-364,RFP,Consulting Engineering Services for AWH HVAC project - Rooftop Unit Upgrade,2023-09-19,Associated Engineering (B.C.) Ltd,"$ 200,249.00",Yes,2023,False,True,vendor_specific,False,True,200249.0,RFP,Associated Engineering (B.C.) Ltd
23-081,RFP,Video Inspection of Sanitary Sewers and Maintenance Holes,2023-09-20,AquaCoustic Remote Technologies Inc.,"$ 175,772.50",Yes,2023,False,True,vendor_specific,False,True,175772.5,RFP,AquaCoustic Remote Technologies Inc.
23-081,RFP,Video Inspection of Sanitary Sewers and Maintenance Holes,2023-09-20,Dougness Holdings Ltd,,No,2023,True,False,not_awarded,False,False,,RFP,Dougness Holdings Ltd
23-081,RFP,Video Inspection of Sanitary Sewers and Maintenance Holes,2023-09-20,A&A Testing Ltd,,No,2023,True,False,not_awarded,False,False,,RFP,A&A Testing Ltd
23-121,RFP,Technical Services for North Shore Wastewater Treatment Plant Project,2023-09-21,Stantec Consulting Ltd.,"$ 10,209,514.50",Yes,2023,False,True,vendor_specific,False,True,10209514.5,RFP,Stantec Consulting Ltd.
23-121,RFP,Technical Services for North Shore Wastewater Treatment Plant Project,2023-09-21,Just Concrete Coring,,No,2023,True,False,not_awarded,False,False,,RFP,Just Concrete Coring
